Metric,Model_Name,Dataset_Name,Fairness_Intervention,Experiment_Iteration,Subgroup,Metric_Value
Label_Stability_Ratio,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,1.0168899504657736
Label_Stability_Difference,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.015356484849979646
Overall_Uncertainty_Difference,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,-0.04760999547011813
Overall_Uncertainty_Ratio,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.9252059508595663
Statistical_Parity_Difference,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,-0.08540245902650173
Disparate_Impact,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.733547771484856
Std_Difference,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,-0.004061072920948865
Std_Ratio,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.9173873282152487
Equalized_Odds_TNR,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.014270908158029783
Equalized_Odds_TPR,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,-0.02166300737488036
Accuracy_Difference,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.026447483629098878
Aleatoric_Uncertainty_Difference,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,-0.0584656783110149
Aleatoric_Uncertainty_Ratio,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.8982992599517948
Epistemic_Uncertainty_Difference,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,-0.00023381384469756128
Epistemic_Uncertainty_Ratio,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.9878196166883592
Equalized_Odds_FNR,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.12267072003602997
Equalized_Odds_FPR,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,-0.04211390456644433
IQR_Difference,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,-0.003942831033655364
Jitter_Difference,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,-0.003194301738436031
Label_Stability_Ratio,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,1.0034363007656077
Label_Stability_Difference,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.0030971895078244494
Overall_Uncertainty_Difference,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,-0.05869949215571246
Overall_Uncertainty_Ratio,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.9011918668778325
Statistical_Parity_Difference,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,-0.1388449728076558
Disparate_Impact,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.5883858325290281
Std_Difference,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,-0.0033678606833675503
Std_Ratio,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.9404981756372862
Equalized_Odds_TNR,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.04211390456644437
Equalized_Odds_TPR,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,-0.12267072003602986
Accuracy_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.04133482963163926
Aleatoric_Uncertainty_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,-0.070098150978742
Aleatoric_Uncertainty_Ratio,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.8453549371330281
Epistemic_Uncertainty_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,-0.0076381372502065115
Epistemic_Uncertainty_Ratio,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.8799368096548043
Equalized_Odds_FNR,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.10141304959747788
Equalized_Odds_FPR,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,-0.06104566444330427
IQR_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,-0.018273949580139864
Jitter_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,-0.021919434759666623
Label_Stability_Ratio,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,1.0379878214315346
Label_Stability_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.03168957565144481
Overall_Uncertainty_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,-0.07773628822894851
Overall_Uncertainty_Ratio,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.8496110983659555
Statistical_Parity_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,-0.14833577920556423
Disparate_Impact,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.5814956821866716
Std_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,-0.013191037765095365
Std_Ratio,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.8644557190072466
Equalized_Odds_TNR,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.06104566444330428
Equalized_Odds_TPR,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,-0.10141304959747788
Accuracy_Difference,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX&RAC1P,0.03290951917029428
